구별,동,인구수_계,인구수_남,인구수_여,19세 이상_계,19세 이상_남,19세 이상_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,재외국민,데이터기준일자
수정구,신흥1동         ,12048,6444,5604,11316,6064,5252,3115,1364,1751,7436,18,2025-11-30
수정구,신흥2동         ,31673,15388,16285,26667,12869,13798,5173,2380,2793,12314,46,2025-11-30
수정구,신흥3동         ,10681,5747,4934,9986,5395,4591,2575,1200,1375,6445,9,2025-11-30
수정구,태평1동         ,13556,7015,6541,12819,6656,6163,3561,1575,1986,8234,24,2025-11-30
수정구,태평2동         ,13655,6887,6768,12581,6358,6223,3335,1422,1913,7531,17,2025-11-30
수정구,태평3동         ,11622,5973,5649,10718,5522,5196,3029,1357,1672,6350,15,2025-11-30
수정구,태평4동         ,10899,5616,5283,9930,5109,4821,2627,1167,1460,5904,14,2025-11-30
수정구,수진1동         ,10808,5764,5044,10226,5464,4762,3160,1420,1740,6689,12,2025-11-30
수정구,수진2동         ,14338,7221,7117,13215,6647,6568,3941,1794,2147,7474,33,2025-11-30
수정구,단대동          ,14145,6958,7187,12569,6119,6450,3274,1418,1856,6490,26,2025-11-30
수정구,산성동          ,4442,2217,2225,3970,1962,2008,1137,481,656,2107,23,2025-11-30
수정구,양지동          ,8947,4386,4561,8081,3943,4138,2170,943,1227,4264,10,2025-11-30
수정구,복정동          ,10218,5741,4477,9513,5376,4137,1332,630,702,6623,18,2025-11-30
수정구,위례동          ,45471,22020,23451,36847,17699,19148,7172,3312,3860,18799,122,2025-11-30
수정구,신촌동          ,4520,2396,2124,3731,1984,1747,610,288,322,2020,14,2025-11-30
수정구,고등동          ,11781,5756,6025,9955,4843,5112,1816,829,987,5313,36,2025-11-30
수정구,시흥동          ,3533,1904,1629,3291,1782,1509,729,353,376,2150,19,2025-11-30
중원구,성남동          ,31919,16662,15257,29535,15472,14063,7131,3280,3851,18433,49,2025-11-30
중원구,중앙동          ,16607,8426,8181,14247,7208,7039,3237,1467,1770,7512,17,2025-11-30
중원구,금광1동         ,19677,9650,10027,16390,8013,8377,2890,1315,1575,8263,16,2025-11-30
중원구,금광2동         ,23618,11689,11929,21349,10545,10804,5364,2413,2951,11959,40,2025-11-30
중원구,은행1동         ,9284,4583,4701,8290,4060,4230,1916,844,1072,4412,8,2025-11-30
중원구,은행2동         ,20976,10299,10677,19230,9412,9818,5255,2267,2988,10692,48,2025-11-30
중원구,상대원1동       ,22453,11678,10775,20271,10568,9703,5259,2389,2870,11547,21,2025-11-30
중원구,상대원2동       ,2926,1510,1416,2662,1364,1298,732,353,379,1529,8,2025-11-30
중원구,상대원3동       ,11087,5836,5251,10215,5396,4819,2961,1415,1546,6288,14,2025-11-30
중원구,하대원동        ,19571,9793,9778,17275,8619,8656,4334,2051,2283,8333,33,2025-11-30
중원구,도촌동          ,25882,12527,13355,21640,10297,11343,4704,2083,2621,10811,60,2025-11-30
분당구,분당동          ,24404,12007,12397,20598,10035,10563,4321,1981,2340,10049,91,2025-11-30
분당구,수내1동         ,17860,8501,9359,14723,6885,7838,2611,1065,1546,7886,122,2025-11-30
분당구,수내2동         ,10364,5096,5268,7597,3695,3902,1260,577,683,3190,41,2025-11-30
분당구,수내3동         ,13203,6543,6660,10422,5149,5273,1547,701,846,5114,30,2025-11-30
분당구,정자동          ,13754,6991,6763,11812,6010,5802,2367,1125,1242,6230,56,2025-11-30
분당구,정자1동         ,30164,14318,15846,25530,11992,13538,4340,2013,2327,14036,275,2025-11-30
분당구,정자2동         ,14203,6755,7448,12513,5868,6645,2874,1139,1735,7266,57,2025-11-30
분당구,정자3동         ,16494,7931,8563,13641,6515,7126,2542,1098,1444,6606,76,2025-11-30
분당구,서현1동         ,30601,14850,15751,25253,12115,13138,4512,2055,2457,12657,171,2025-11-30
분당구,서현2동         ,17293,8514,8779,14443,7008,7435,2809,1301,1508,6557,63,2025-11-30
분당구,이매1동         ,24609,12000,12609,20315,9759,10556,3996,1842,2154,9032,89,2025-11-30
분당구,이매2동         ,12810,6276,6534,10505,5068,5437,2445,1203,1242,4372,48,2025-11-30
분당구,야탑1동         ,16502,8136,8366,14470,7096,7374,3431,1594,1837,7528,60,2025-11-30
분당구,야탑2동         ,15548,7398,8150,13078,6155,6923,3507,1615,1892,5980,80,2025-11-30
분당구,야탑3동         ,26661,13135,13526,23497,11530,11967,5455,2396,3059,12726,59,2025-11-30
분당구,금곡동,26838,12619,14219,23431,10858,12573,5759,2508,3251,12016,162,2025-11-30
분당구,구미동,27978,13227,14751,24527,11498,13029,6068,2662,3406,12605,162,2025-11-30
분당구,구미1동,16103,7773,8330,13906,6655,7251,2823,1290,1533,6950,80,2025-11-30
분당구,판교동          ,26364,12911,13453,20287,9791,10496,3081,1489,1592,8981,108,2025-11-30
분당구,삼평동          ,23606,11453,12153,19094,9165,9929,3185,1450,1735,9098,52,2025-11-30
분당구,백현동          ,26304,12523,13781,21984,10286,11698,4151,1852,2299,10524,105,2025-11-30
분당구,운중동          ,38177,18593,19584,30275,14562,15713,4515,2173,2342,13922,172,2025-11-30
